rank,full_name,team,injury_status,position,age,points,avg_adp,trend,KeepTradeCut,90D Peak
38,Bucky Irving,TB,,RB,22,220.9,9,1,5709,
39,2026 Early 1st,FA,,PI,,0,0,1,5703,
40,2027 Early 1st,FA,,PI,,0,0,3,5697,
41,Tetairoa McMillan,CAR,,WR,22,0,25,3,5616,
42,Kyler Murray,ARI,,QB,27,308.24,10,-1,5593,
43,J.J. McCarthy,MIN,,QB,22,0,21,1,5540,
44,Tee Higgins,CIN,,WR,26,185.6,13,-1,5490,
45,Trevor Lawrence,JAX,Questionable,QB,25,152.2,19,-2,5456,
46,Breece Hall,NYJ,,RB,23,212.4,13,-2,5453,
47,TreVeyon Henderson,NE,,RB,22,0,20,8,5450,
48,Jonathan Taylor,IND,,RB,26,235.7,9,-2,5401,low
49,Cameron Ward,TEN,,QB,23,0,25,-2,5393,
50,Baker Mayfield,TB,,QB,30,381.8,7,-1,5392,
51,2025 Mid 1st,FA,,PI,,0,0,1,5378,
52,Rashee Rice,KC,Questionable,WR,25,53.9,20,-1,5375,
53,Sam LaPorta,DET,,TE,24,144.6,4,-1,5321,
54,Michael Penix,ATL,,QB,25,47.1,21,-1,5318,
55,Quinshon Judkins,CLE,,RB,21,0,24,9,5299,
56,Kyren Williams,LA,,RB,24,255.1,11,-1,5233,
57,DeVonta Smith,PHI,,WR,26,165.4,23,-1,5194,
